"sub","number","name","url","desc","min_credits","max_credits","id"
"CSC","150","Computer Science I: Introduction to Computer Science and Programming","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/100/CSC-150","An introduction to fundamental principles of computer science. A brief introduction to computers, including data representation and storage and digital computation. Program design and implementation skills are developed using a high-level language. Topics may include fundamental programming constructs (e.g., functions, branching, looping), algorithm design, data abstraction, recursion, and object-oriented programming. Prerequisites: MAT-150 or MAT-175 or MAT-275 or placement. The prerequisite course must be passed with a minimum grade of C.",4,4,"CSC150"
"CSC","152","Computer Science II: Data Structures","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/100/CSC-152","This course continues CSC-150 with further study of data abstraction, algorithm design, and object-oriented principles. Topics may include inheritance, polymorphism, method overloading, recursion, lists, stacks, queues, trees, and searching and sorting algorithms, all using abstract data structures. Prerequisites: CSC-150. The prerequisite course must be passed with a minimum grade of C",4,4,"CSC152"
"CSC","160","Introduction to Computer Architecture","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/100/CSC-160","A broad introduction to computing systems beginning with an introduction to digital logic and progressing through other topics including machine-level representation of data and instructions, controller and data-path design, instruction-set considerations, reduced instruction-set computers, and basic pipelining. Prerequisites: CSC-150 with a grade of C or better.",4,4,"CSC160"
"CSC","235","Programming Languages","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/200/CSC-235","An examination of the principles of programming language design, together with tools and techniques of implementation. Specific instances of several families of languages are investigated, together with theoretical considerations; these families may include object-oriented, functional, and data-flow languages. Prerequisites: CSC-152. The prerequisite course must be passed with a minimum grade of C.",4,4,"CSC235"
"CSC","270","Applied Databases","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/200/CSC-270","An introduction to the fundamental concepts of database design and management. Topics may include entity-relationship and relational data models, normalization, relational database design and implementation, SQL, and administration. Prerequisite: CSC-150 must be passed with a minimum grade of C.",4,4,"CSC270"
"CSC","294","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/200/CSC-294","May be repeated up to a maximum of 4 credits and is subject to arrangement with the Mathematical and Physical Sciences Department. This course does not fulfill the core requirement for independent work. See independent study guidelines. Prerequisites: Instructor permission",4,4,"CSC294"
"CSC","340","Design and Analysis of Algorithms","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/300/CSC-340","Study of algorithm design, implementation, and behavior analysis. Topics may include divide-and-conquer, greedy algorithms, dynamic programming, sorting techniques, data structures and advanced data structures, and graph algorithms, including minimal spanning trees. Selected topics such as parallel/multithreaded algorithms may be covered as time permits. Prerequisite: CSC-152 must be passed with a minimum grade of C.",4,4,"CSC340"
"CSC","350","Formal Languages and Automata","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/300/CSC-350","An introduction to the theoretical foundations of computing, including the theory of formal languages, decidability, recursion, and complexity. Topics may include finite-state automata, regular languages, context-free grammars, decidability and halting, Turing machines, and the complexity hierarchy of algorithms. Prerequisites: CSC-160 and MAT-252. The prerequisite courses must be passed with minimum grades of C.",4,4,"CSC350"
"CSC","455","Numerical Computation","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-455","This course is concerned with numerical methods for applied mathematical problems beginning with development and proceeding through implementation and analysis. Topics may include error analysis, root finding, interpolation and polynomial approximation, numerical differentiation and integration, numerical solution of linear and nonlinear systems of equations, and approximation theory. Prerequisites: CSC-152 and MAT-361. The prerequisite courses must be passed with minimum grades of C.",4,4,"CSC455"
"CSC","480","Software Engineering and Senior Design I","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-480","First course in a three-semester sequence in which students learn and apply sound principles and methods of software engineering. Topics may include models of software development, requirement solicitation and definition, system design and organization, documentation, verification, and validation. Prerequisites: Senior standing, CSC-235, CSC-270, and CSC-350. CSC-270 and CSC-350 may be taken concurrently with CSC-480. The prerequisite courses must be passed with minimum grades of C",4,4,"CSC480"
