"Minor","sub","number","url"
"Art History and Visual Culture","ART","111","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/100/ART-111"
"Art History and Visual Culture","ARH","200","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/200/ARH-200"
"Art History and Visual Culture","ARH","205","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/200/ARH-205"
"Art History and Visual Culture","ARH","300","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-300"
"Art History and Visual Culture","ARH","305","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-305"
"Art History and Visual Culture","ARH","320","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-320"
"Art History and Visual Culture","ARH","330","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-330"
"Art History and Visual Culture","ARH","335","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-335"
"Art History and Visual Culture","ARH","340","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-340"
"Art History and Visual Culture","ATH","128","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-128"
"Art History and Visual Culture","ATH","300","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-300"
"Art History and Visual Culture","ENG","225","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ENG-English/200/ENG-225"
"Art History and Visual Culture","HIS","202","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/HIS-History/200/HIS-202"
"Art History and Visual Culture","HIS","356","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/HIS-History/300/HIS-356"
"Art History and Visual Culture","IND","307.1","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/IND-Interdepartmental/300/IND-307-1"
"Art History and Visual Culture","PSY","254","http://collegeofidaho.smartcatalogiq.com/en/2017-2018/Undergraduate-Catalog/Courses/PSY-Psychology/200/PSY-254"
"Art History and Visual Culture","PSY","336","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PSY-Psychology/300/PSY-336"
"Art History and Visual Culture","PSY","410","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PSY-Psychology/400/PSY-410"
"Art History and Visual Culture","SOC","100","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/SOC-Sociology/100/SOC-100"
"Art History and Visual Culture","THE","200","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/THE-Theatre/200/THE-200"
"Anthropology / Sociology","ATH","101","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-101"
"Anthropology / Sociology","SOC","100","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/SOC-Sociology/100/SOC-100"
"Anthropology / Sociology","ATHSOC","492","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-492"
"Art and Design ","ART","131","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/100/ART-131"
"Art and Design ","ART","151","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/100/ART-151"
"Art and Design ","ART","171","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/100/ART-171"
"Art and Design ","ART","211","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-211"
"Art and Design ","ART","212","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-212"
"Art and Design ","ART","231","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-231"
"Art and Design ","ART","235","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-235"
"Art and Design ","ART","251","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-251"
"Art and Design ","ART","255","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-255"
"Art and Design ","ART","256","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-256"
"Art and Design ","ART","271","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-271"
"Art and Design ","ART","281","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/200/ART-201"
"Art and Design ","ART","333","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/300/ART-333"
"Art and Design ","ART","345","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/300/ART-345"
"Art and Design ","ART","353","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/300/ART-353"
"Art and Design ","ART","375","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/300/ART-375"
"Art and Design ","ART","385","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ART-Art/300/ART-385"
"Art and Design ","ARH","200","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/200/ARH-200"
"Art and Design ","ARH","205","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/200/ARH-205"
"Art and Design ","ARH","300","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-300"
"Art and Design ","ARH","305","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-305"
"Art and Design ","ARH","320","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/ARH-Art-History/300/ARH-320"
