prevSubject,prevNumber,subSubject,subNumber,type
MAT,150,CSC,150,option1
MAT,175,CSC,150,option1
MAT,275,CSC,150,option1
CSC,150,CSC,152,required
CSC,150,CSC,285,required
CSC,150,CSC,270,required
CSC,150,CSC,160,required
CSC,152,CSC,235,required
CSC,152,CSC,455,required
MAT,361,CSC,455,required
CSC,160,CSC,350,required
MAT,252,CSC,350,required
CSC,235,CSC,480,required
CSC,270,CSC,480,required
CSC,350,CSC,480,required
CSC,480,CSC,481,required
CSC,152,CSC,340,required
MAT,101,MAT,111,optionP
MAT,101,MAT,102,optionP
MAT,101,MAT,125,optionP
MAT,102,MAT,130,optionP
MAT,150,MAT,130,optionP
MAT,102,MAT,150,optionP
MAT,150,MAT,175,option2
MAT,130,MAT,175,option2
MAT,125,MAT,212,option1
MAT,175,MAT,212,option1
MAT,275,MAT,212,option1
MAT,102,MAT,221,required
MAT,221,MAT,222,required
MAT,175,MAT,275,required
MAT,212,CSC,285,required
MAT,175,MAT,280,option1
MAT,275,MAT,280,option1
MAT,175,MAT,281,option1
MAT,275,MAT,281,option1
MAT,175,MAT,282,option1
MAT,275,MAT,282,option1
MAT,280,MAT,311,option1
MAT,281,MAT,311,option1
MAT,282,MAT,311,option1
MAT,311,MAT,312,required
MAT,275,MAT,352,required
MAT,280,MAT,361,option1
MAT,281,MAT,361,option1
MAT,282,MAT,361,option1
MAT,280,MAT,370,option1
MAT,281,MAT,370,option1
MAT,282,MAT,370,option1
MAT,280,MAT,372,option1
MAT,281,MAT,372,option1
MAT,282,MAT,372,option1
MAT,280,MAT,431,option1
MAT,281,MAT,431,option1
MAT,282,MAT,431,option1
MAT,280,MAT,441,option1
MAT,281,MAT,441,option1
MAT,282,MAT,441,option1
MAT,280,MAT,451,option1
MAT,281,MAT,451,option1
MAT,282,MAT,451,option1
MAT,280,MAT,461,option1
MAT,281,MAT,461,option1
MAT,282,MAT,461,option1
