"course","minor","type","other"
"BIO159","Computer Studies","option","LAB"
"BIO201","Computer Studies","option","LAB"
"BIO202","Computer Studies","option","LAB"
"BIO210","Computer Studies","option","LAB"
"CHE141","Computer Studies","option","LAB"
"CHE142","Computer Studies","option","LAB"
"ENV160","Computer Studies","option","LAB"
"PHY231","Computer Studies","option","LAB"
"PHY232","Computer Studies","option","LAB"
"PHY271","Computer Studies","option","LAB"
"PHY272","Computer Studies","option","LAB"
"GEO101","Computer Studies","option","LAB"
"BIO159","Mathematics","option","LAB"
"BIO201","Mathematics","option","LAB"
"BIO202","Mathematics","option","LAB"
"BIO210","Mathematics","option","LAB"
"CHE141","Mathematics","option","LAB"
"CHE142","Mathematics","option","LAB"
"ENV160","Mathematics","option","LAB"
"PHY231","Mathematics","option","LAB"
"PHY232","Mathematics","option","LAB"
"PHY271","Mathematics","option","LAB"
"PHY272","Mathematics","option","LAB"
"GEO101","Mathematics","option","LAB"
"BIO159","Applied Math","option","LAB"
"BIO201","Applied Math","option","LAB"
"BIO202","Applied Math","option","LAB"
"BIO210","Applied Math","option","LAB"
"CHE141","Applied Math","option","LAB"
"CHE142","Applied Math","option","LAB"
"ENV160","Applied Math","option","LAB"
"PHY231","Applied Math","option","LAB"
"PHY232","Applied Math","option","LAB"
"PHY271","Applied Math","option","LAB"
"PHY272","Applied Math","option","LAB"
"GEO101","Applied Math","option","LAB"
