course,minor,type,other
MAT150,Computer Science,option,MAT175
MAT175,Computer Science,option,MAT150
MAT252,Computer Science,required,req
CSC150,Computer Science,required,req
CSC160,Computer Science,required,req
CSC270,Computer Science,required,req
CSC235,Computer Science,option,CSC340
CSC340,Computer Science,option,CSC235
MAT150,Computer Studies,option,MAT175
MAT175,Computer Studies,option,MAT150
CSC150,Computer Studies,required,req
CSC270,Computer Studies,required,req
BIO159,Computer Studies,option,LAB
BIO201,Computer Studies,option,LAB
BIO202,Computer Studies,option,LAB
BIO210,Computer Studies,option,LAB
CHE141,Computer Studies,option,LAB
CHE142,Computer Studies,option,LAB
ENV160,Computer Studies,option,LAB
PHY231,Computer Studies,option,LAB
PHY232,Computer Studies,option,LAB
PHY271,Computer Studies,option,LAB
PHY272,Computer Studies,option,LAB
GEO101,Computer Studies,option,LAB
MAT175,Mathematics,option,MAT275
MAT275,Mathematics,option,MAT175
MAT280,Mathematics,option,Proofs
MAT281,Mathematics,option,Proofs
MAT282,Mathematics,option,Proofs
MAT283,Mathematics,option,Proofs
BIO159,Mathematics,option,LAB
BIO201,Mathematics,option,LAB
BIO202,Mathematics,option,LAB
BIO210,Mathematics,option,LAB
CHE141,Mathematics,option,LAB
CHE142,Mathematics,option,LAB
ENV160,Mathematics,option,LAB
PHY231,Mathematics,option,LAB
PHY232,Mathematics,option,LAB
PHY271,Mathematics,option,LAB
PHY272,Mathematics,option,LAB
GEO101,Mathematics,option,LAB
MAT311,Mathematics,option,sixCredits
MAT312,Mathematics,option,sixCredits
MAT352,Mathematics,option,sixCredits
MAT361,Mathematics,option,sixCredits
MAT370,Mathematics,option,sixCredits
MAT372,Mathematics,option,sixCredits
MAT399T,Mathematics,option,sixCredits
MAT431,Mathematics,option,sixCredits
MAT441,Mathematics,option,sixCredits
MAT451,Mathematics,option,sixCredits
MAT461,Mathematics,option,sixCredits
MAT494,Mathematics,option,sixCredits
MAT497,Mathematics,option,sixCredits
MAT498,Mathematics,option,sixCredits
MAT499T,Mathematics,option,sixCredits
MAT175,Physics,prerequisite,req
MAT275,Physics,prerequisite,req
MAT352,Physics,prerequisite,req
PHY271,Physics,required,req
PHY271L,Physics,required,req
PHY272,Physics,required,req
PHY272L,Physics,required,req
PHY100,Physics,option,threeCredit
PHY105,Physics,option,threeCredit
PHY170,Physics,option,threeCredit
PHY199,Physics,option,threeCredit
PHY199T,Physics,option,threeCredit
PHY210,Physics,option,threeCredit
PHY230,Physics,option,threeCredit
