"id1","id2"
"CSC150","MAT150"
"CSC150","MAT175"
"CSC150","MAT275"
"CSC152","CSC150"
"CSC160","CSC150"
"CSC235","CSC152"
"CSC270","CSC150"
"CSC340","CSC152"
"CSC350","CSC160"
"CSC350","MAT252"
"CSC455","CSC152"
"CSC455","MAT361"
"CSC480","CSC235"
"CSC480","CSC270"
"CSC480","CSC350"
"CSC480","CSC270"
"CSC480","CSC350"
"CSC480","CSC480"
"CSC481","CSC480"
"CSC482","CSC481"
"CSC490","CSC152"
"MAT102","MAT101"
"MAT111","MAT101"
"MAT125","MAT101"
"MAT130","MAT102"
"MAT130","MAT150"
"MAT150","MAT102"
"MAT175","MAT150"
"MAT175","MAT150"
"MAT175","MAT130"
"MAT212","MAT125"
"MAT212","MAT175"
"MAT212","MAT275"
"MAT221","MAT102"
"MAT222","MAT102"
"MAT252","MAT280"
"MAT252","MAT281"
"MAT252","MAT282"
"MAT252","MAT283"
"MAT275","MAT175"
"MAT280","MAT175"
"MAT280","MAT275"
"MAT281","MAT175"
"MAT281","MAT275"
"MAT282","MAT175"
"MAT282","MAT275"
"MAT283","MAT175"
"MAT283","MAT275"
"MAT311","MAT280"
"MAT311","MAT281"
"MAT311","MAT282"
"MAT311","MAT283"
"MAT352","MAT275"
"MAT361","MAT280"
"MAT361","MAT281"
"MAT361","MAT282"
"MAT361","MAT283"
"MAT370","MAT280"
"MAT370","MAT281"
"MAT370","MAT282"
"MAT370","MAT283"
"MAT372","MAT280"
"MAT372","MAT281"
"MAT372","MAT282"
"MAT372","MAT283"
"MAT431","MAT280"
"MAT431","MAT281"
"MAT431","MAT282"
"MAT431","MAT283"
"MAT441","MAT280"
"MAT441","MAT281"
"MAT441","MAT282"
"MAT441","MAT283"
"MAT451","MAT280"
"MAT451","MAT281"
"MAT451","MAT282"
"MAT451","MAT283"
"MAT461","MAT280"
"MAT461","MAT281"
"MAT461","MAT282"
"MAT461","MAT283"
"PHY170","MAT150"
"PHY210","PHY271"
"PHY231","MAT125"
"PHY231","PHY231L"
"PHY232","PHY231"
"PHY232","PHY232L"
"PHY240","MAT175"
"PHY240","PHY240L"
"PHY272","PHY271"
"PHY272","PHY271L"
"PHY272","PHY272L"
"PHY301","PHY272"
"PHY301","MAT352"
"PHY313","PHY272"
"PHY330","PHY272"
"PHY330","MAT352"
"PHY400","PHY272"
"PHY400","MAT275"
"PHY450","PHY272"
"PHY450","PHY272L"
"PHY496","PHY199"
"PHY496","PHY231"
"PHY496","PHY271"
