prevSubject,prevNumber,subSubject,subNumber,type
MAT,150,CSC,150,option
MAT,175,CSC,150,option
MAT,275,CSC,150,option
CSC,150,CSC,152,required
CSC,150,CSC,285,required
CSC,150,CSC,270,required
CSC,150,CSC,160,required
CSC,152,CSC,235,required
CSC,152,CSC,455,required
MAT,361,CSC,455,required
CSC,160,CSC,350,required
MAT,252,CSC,350,required
CSC,235,CSC,480,required
CSC,270,CSC,480,co-req
CSC,350,CSC,480,co-req
CSC,480,CSC,481,required
CSC,152,CSC,340,required
MAT,101,MAT,111,option
MAT,101,MAT,102,option
MAT,101,MAT,125,option
MAT,102,MAT,130,option
MAT,150,MAT,130,option
MAT,102,MAT,150,option
MAT,150,MAT,175,option
MAT,130,MAT,175,option
MAT,125,MAT,212,option
MAT,175,MAT,212,option
MAT,275,MAT,212,option
MAT,102,MAT,221,required
MAT,221,MAT,222,required
MAT,175,MAT,275,required
